"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"HTIKV2UD","journalArticle","2020","Staroverov, Aleksey; Yudin, Dmitry A.; Belkin, Ilya; Adeshkin, Vasily; Solomentsev, Yaroslav K.; Panov, Aleksandr I.","Real-time object navigation with deep neural networks and hierarchical reinforcement learning","IEEE Access","","","","","","2020","2023-06-18 06:42:22","2023-06-18 06:42:22","","195608–195621","","","8","","","","","","","","","","","","","","","Google Scholar","","Publisher: IEEE","","C:\Users\emcom\Zotero\storage\AK8YKMZT\9241850.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2E9I3UBK","conferencePaper","2020","Kästner, Linh; Marx, Cornelius; Lambrecht, Jens","Deep-reinforcement-learning-based semantic navigation of mobile robots in dynamic environments","2020 IEEE 16th International Conference on Automation Science and Engineering (CASE)","","","","","","2020","2023-06-18 06:42:22","2023-06-18 06:42:22","","1110–1115","","","","","","","","","","","IEEE","","","","","","","Google Scholar","","","","C:\Users\emcom\Zotero\storage\K5W7TC3K\Kästner et al. - 2020 - Deep-reinforcement-learning-based semantic navigat.pdf; C:\Users\emcom\Zotero\storage\VZEL5TWU\9216798.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9JYE6IPD","conferencePaper","2019","Ruan, Xiaogang; Ren, Dingqi; Zhu, Xiaoqing; Huang, Jing","Mobile robot navigation based on deep reinforcement learning","2019 Chinese control and decision conference (CCDC)","","","","","","2019","2023-06-18 06:42:22","2023-06-18 06:42:22","","6174–6178","","","","","","","","","","","IEEE","","","","","","","Google Scholar","","","","C:\Users\emcom\Zotero\storage\VZH4DFCJ\8832393.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JHAY8G4B","journalArticle","2023","Li, Weijie; Yue, Ming; Shangguan, Jinyong; Jin, Ye","Navigation of Mobile Robots Based on Deep Reinforcement Learning: Reward Function Optimization and Knowledge Transfer","International Journal of Control, Automation and Systems","","","","","","2023","2023-06-18 06:42:22","2023-06-18 06:42:22","","563–574","","2","21","","","Navigation of Mobile Robots Based on Deep Reinforcement Learning","","","","","","","","","","","","Google Scholar","","Publisher: Springer","","C:\Users\emcom\Zotero\storage\RXDDVEQJ\s12555-021-0642-7.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7AHJHES7","journalArticle","2019","Shi, Haobin; Shi, Lin; Xu, Meng; Hwang, Kao-Shing","End-to-end navigation strategy with deep reinforcement learning for mobile robots","IEEE Transactions on Industrial Informatics","","","","","","2019","2023-06-18 06:42:22","2023-06-18 06:42:22","","2393–2402","","4","16","","","","","","","","","","","","","","","Google Scholar","","Publisher: IEEE","","C:\Users\emcom\Zotero\storage\5LGH4GFH\8807287.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49PE7785","journalArticle","2021","Luong, Manh; Pham, Cuong","Incremental learning for autonomous navigation of mobile robots based on deep reinforcement learning","Journal of Intelligent & Robotic Systems","","","","","","2021","2023-06-18 06:42:22","2023-06-18 06:42:22","","1","","1","101","","","","","","","","","","","","","","","Google Scholar","","Publisher: Springer","","C:\Users\emcom\Zotero\storage\I9GDXYUM\Luong and Pham - 2021 - Incremental learning for autonomous navigation of .pdf; C:\Users\emcom\Zotero\storage\PGTZV6ZX\s10846-020-01262-5.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YIB6LYX9","conferencePaper","2017","Tai, Lei; Paolo, Giuseppe; Liu, Ming","Virtual-to-real deep reinforcement learning: Continuous control of mobile robots for mapless navigation","2017 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)","","","","","","2017","2023-06-18 06:42:22","2023-06-18 06:42:22","","31–36","","","","","","Virtual-to-real deep reinforcement learning","","","","","IEEE","","","","","","","Google Scholar","","","","C:\Users\emcom\Zotero\storage\TJNQG2VL\Tai et al. - 2017 - Virtual-to-real deep reinforcement learning Conti.pdf; C:\Users\emcom\Zotero\storage\FHE5S7SD\8202134.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7HSJ5W9A","journalArticle","2016","Duguleana, Mihai; Mogan, Gheorghe","Neural networks based reinforcement learning for mobile robots obstacle avoidance","Expert Systems with Applications","","","","","","2016","2023-06-18 06:42:22","2023-06-18 06:42:22","","104–115","","","62","","","","","","","","","","","","","","","Google Scholar","","Publisher: Elsevier","","C:\Users\emcom\Zotero\storage\5XB5C4AU\S0957417416303001.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"79TTKG94","journalArticle","2021","Zhu, Kai; Zhang, Tao","Deep reinforcement learning based mobile robot navigation: A review","Tsinghua Science and Technology","","","","","","2021","2023-06-18 06:42:22","2023-06-18 06:42:22","","674–691","","5","26","","","Deep reinforcement learning based mobile robot navigation","","","","","","","","","","","","Google Scholar","","Publisher: TUP","","C:\Users\emcom\Zotero\storage\T36GAGQY\9409758.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7VT99DDA","journalArticle","2018","Zhelo, Oleksii; Zhang, Jingwei; Tai, Lei; Liu, Ming; Burgard, Wolfram","Curiosity-driven exploration for mapless navigation with deep reinforcement learning","arXiv preprint arXiv:1804.00456","","","","","","2018","2023-06-18 06:42:22","2023-06-18 06:42:22","","","","","","","","","","","","","","","","","","","","Google Scholar","","","","C:\Users\emcom\Zotero\storage\55FJKKFZ\Zhelo et al. - 2018 - Curiosity-driven exploration for mapless navigatio.pdf; C:\Users\emcom\Zotero\storage\X84G5ZMY\1804.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
